"order_number","order_date","order_year","customer_key","customer_name","gender","birthday","age","store_key","country","state","order_revenue","order_profit","total_quantity"
"366000",2016-01-01,2016,265598,Tyler Vaught,Male,1971-03-23,55,10,Canada,Nunavut,68.00,36.73,1
"366001",2016-01-01,2016,1269051,Frank Upchurch,Male,1995-11-20,31,0,Online,Online,1519.94,1016.36,3
"366002",2016-01-01,2016,266019,Joan Roche,Female,1962-08-24,64,0,Online,Online,5164.00,3105.12,12
"366004",2016-01-01,2016,1107461,Sam Nelson,Male,1979-11-28,47,38,United Kingdom,Belfast,10063.20,6663.48,8
"366005",2016-01-01,2016,844003,Ouassim Heuver,Male,1995-06-22,31,33,Netherlands,Friesland,1876.00,1013.28,4
"366007",2016-01-01,2016,2035771,Damiana Corona,Female,1944-10-30,82,43,United States,Alaska,872.99,471.52,6
"366008",2016-01-01,2016,759705,Callisto Lo Duca,Male,1976-08-28,50,29,Italy,Enna,12121.06,8104.35,15
"366009",2016-01-01,2016,254540,Hazel Skiles,Female,1988-06-10,38,9,Canada,Northwest Territories,109.99,53.91,1
"366010",2016-01-01,2016,370077,Carlota Etzel,Female,1971-02-02,55,0,Online,Online,1495.00,999.70,5
"366011",2016-01-01,2016,1984985,Mike Mogensen,Male,1937-06-10,89,66,United States,Wyoming,2317.65,1201.18,12
"366012",2016-01-01,2016,1977527,Rebecca Koch,Female,1988-04-18,38,65,United States,West Virginia,96.96,48.79,6
"366013",2016-01-01,2016,1187306,Max Norris,Male,1977-06-11,49,41,United Kingdom,Fermanagh,1299.95,869.25,5
"366014",2016-01-01,2016,738549,Clara Toscani,Female,1998-12-25,28,0,Online,Online,297.75,160.83,3
"366016",2016-01-01,2016,1982762,Asta Kruse,Female,1971-02-18,55,63,United States,Utah,139.93,68.60,7
"367000",2016-01-02,2016,1438050,Angela Roeder,Female,1939-02-16,87,56,United States,New Hampshire,1000.00,668.68,1
"367003",2016-01-02,2016,980164,Evie Gardiner,Female,1987-06-02,39,40,United Kingdom,Dungannon and South Tyrone,939.94,507.70,2
"367004",2016-01-02,2016,1853699,Young Hudson,Female,1956-08-17,70,56,United States,New Hampshire,421.91,227.90,5
"367005",2016-01-02,2016,758280,Adolfo Genovesi,Male,1993-07-29,33,0,Online,Online,2397.77,1513.64,30
"367006",2016-01-02,2016,693285,Solaine Lanoie,Female,1978-11-20,48,18,France,Mayotte,14.97,7.35,3
"367007",2016-01-02,2016,1730985,Ethel Wong,Female,1987-08-31,39,57,United States,New Mexico,3967.00,2142.68,16
"367008",2016-01-02,2016,763246,Remigio Romano,Male,1942-07-17,84,28,Italy,Caltanissetta,9599.97,6419.31,3
"367009",2016-01-02,2016,1512558,Kimberly Walden,Female,1968-12-04,58,57,United States,New Mexico,3885.92,2275.54,22
"367010",2016-01-02,2016,1322959,Eric Williams,Male,1959-11-05,67,66,United States,Wyoming,478.23,319.78,2
"367011",2016-01-02,2016,507981,Eric Luft,Male,1957-11-12,69,22,Germany,Freistaat Thüringen,299.23,200.09,1
"367012",2016-01-02,2016,209990,Brandon Loyd,Male,1975-12-23,51,9,Canada,Northwest Territories,9249.92,6087.06,8
"367013",2016-01-02,2016,815458,Libaan van Essen,Male,1982-02-03,44,31,Netherlands,Drenthe,1437.58,774.20,8
"367014",2016-01-02,2016,1839627,William Falcon,Male,1990-02-21,36,56,United States,New Hampshire,2670.00,1442.16,3
"367015",2016-01-02,2016,911025,Amber Jordan,Female,1960-09-30,66,42,United Kingdom,North Down,1879.50,1015.21,7
"367016",2016-01-02,2016,1633409,Paul Burt,Male,1942-01-04,84,63,United States,Utah,4067.00,2465.82,11
"367017",2016-01-02,2016,1612400,Jordon Munguia,Male,1958-02-20,68,47,United States,Hawaii,3920.00,2621.24,4
"367018",2016-01-02,2016,1301565,Daniel Spencer,Male,1980-06-23,46,59,United States,Oregon,1971.96,992.38,10
"367019",2016-01-02,2016,793573,Paolo Li Fonti,Male,1955-12-30,71,29,Italy,Enna,5584.16,3016.18,16
"367020",2016-01-02,2016,799366,Berardo Onio,Male,1944-10-21,82,29,Italy,Enna,4819.39,2933.57,7
"367021",2016-01-02,2016,243917,Summer Brown,Female,1983-02-07,43,10,Canada,Nunavut,2965.98,1845.50,12
"367022",2016-01-02,2016,942807,Morgan Kennedy,Male,1956-04-21,70,42,United Kingdom,North Down,4694.59,2624.39,17
